Date,GC=F,NEM
2018-09-01,1191.5,30.200000762939453
2018-12-01,1278.300048828125,34.650001525878906
2019-03-01,1293.0,35.77000045776367
2019-06-01,1409.699951171875,38.470001220703125
2020-06-01,1793.0,61.7400016784668
2020-09-01,1887.5,63.45000076293945
2020-12-01,1893.0999755859375,59.88999938964844
2021-03-01,1713.800048828125,60.27000045776367
2021-06-01,1770.800048828125,63.380001068115234
2021-09-01,1755.300048828125,54.29999923706055
2021-12-01,1827.5,62.02000045776367
2022-03-01,1949.199951171875,79.44999694824219
2022-06-01,1804.0999755859375,59.66999816894531
2022-09-01,1662.4000244140625,42.029998779296875
2022-12-01,1819.699951171875,47.20000076293945
2023-03-01,1969.0,49.02000045776367
2023-06-01,1921.0999755859375,42.65999984741211
